wavelength fwhm
382.2239990 0.008687
382.2567383 0.019358
382.3215332 0.010333
382.4119141 0.007098
382.4279297 0.006478
382.5201172 0.009270
382.6181885 0.011191
382.6636963 0.006320
382.7035400 0.012556
382.7386230 0.012094
382.8408936 0.007477
382.8567627 0.005829
382.9128906 0.008252
382.9550293 0.007066
383.0143799 0.007151
383.0319580 0.010208
383.0630615 0.010032
383.0830322 0.009529
383.0980957 0.013434
383.1246582 0.016400
383.2103027 0.015821
383.2434814 0.008405
383.2691650 0.010060
383.2913574 0.017293
383.3382812 0.008056
383.3543945 0.009537
383.4534912 0.009570
383.5104492 0.009951
383.7510986 0.014646
383.7809082 0.017154
383.8113525 0.010579
383.9083984 0.008922
384.1370361 0.007225
384.1697998 0.009005
384.2160645 0.009504
384.5199463 0.006326
384.5344238 0.005091
384.5504639 0.009707
384.5896240 0.019185
384.7198730 0.011338
384.7514893 0.015471
384.8172852 0.008745
384.8929443 0.013054
384.9927246 0.007792
385.0109863 0.004860
385.0264160 0.009747
385.0609131 0.012358
385.0880371 0.009404
385.2553955 0.000183
385.4150146 0.005219
385.5250000 0.011317
385.5954102 0.011061
386.4605713 0.009464
386.5188965 0.011096
387.5606934 0.012503
388.2912109 0.010456
388.8641357 0.015000
389.0065674 0.009897
390.4575195 0.011825
390.4836914 0.011957
390.5289795 0.011508
390.5867432 0.007732
390.6521729 0.033964
390.6654785 0.009350
390.7372559 0.005821
390.7605469 0.009461
390.8385498 0.011062
390.8735596 0.008744
390.9606445 0.014044
391.0029297 0.007697
391.0951172 0.009326
391.1472656 0.008828
391.2484619 0.010342
391.3690674 0.009522
391.4192139 0.008277
391.4695312 0.010371
391.4945068 0.011294
391.6084473 0.009627
391.6921875 0.009618
391.8140869 0.011586
391.8462158 0.006841
391.9079346 0.011947
392.0378418 0.009409
392.1118164 0.010171
392.1403564 0.008694
392.2787354 0.009425
392.3596436 0.007331
392.3904053 0.016547
392.5372070 0.009823
392.6265869 0.015235
392.6611084 0.009343
392.7834961 0.008898
392.8139648 0.007485
392.9097656 0.005934
392.9467285 0.007726
393.1082520 0.009300
393.2519531 0.005212
393.7495361 0.006498
393.9532471 0.009360
393.9837158 0.010878
394.0510498 0.002806
394.0972412 0.010460
394.1169189 0.009298
394.1731445 0.013493
394.2847900 0.028034
394.3522949 0.013372
394.5213135 0.010264
394.5511475 0.008152
394.5633057 0.003616
394.5860840 0.009741
394.8075439 0.015041
394.8407227 0.016384
394.8730713 0.009828
395.1271240 0.016490
395.1542236 0.043575
395.1811523 0.010208
395.2181396 0.010681
395.3427734 0.003289
395.3956299 0.007977
395.5444580 0.008685
395.5595459 0.006173
395.5788574 0.008970
395.6175293 0.010650
395.6702881 0.008279
395.9615479 0.004340
395.9780273 0.004944
396.0137451 0.005223
396.0335938 0.008918
396.0732666 0.021405
396.1590088 0.009575
397.3923340 0.012419
397.4358154 0.018921
397.4850586 0.006795
397.7480713 0.017541
397.7852783 0.028605
397.8110840 0.011799
398.0380859 0.008035
398.0728516 0.006739
398.1008789 0.012605
398.1434082 0.011276
398.3957764 0.009654
398.4280273 0.006717
398.4596436 0.010260
398.8212402 0.008760
398.8293945 0.007353
398.8548828 0.010710
398.8884766 0.012750
398.9816406 0.006574
399.3189209 0.015842
399.3512939 0.017893
399.3869141 0.012613
399.9093750 0.010802
399.9544434 0.018841
400.7512207 0.007217
400.7763916 0.011269
400.8188721 0.009837
400.8795898 0.011155
400.9380859 0.034005
400.9539551 0.012375
401.0437988 0.022952
401.1434814 0.010634
401.1607178 0.008601
401.2626709 0.008683
401.2903076 0.007651
401.4023682 0.012015
401.4336426 0.013675
401.5573730 0.008632
401.5997070 0.010943
401.6594482 0.010785
401.7301758 0.009072
401.7803467 0.007401
401.9209717 0.007321
401.9801025 0.011831
402.0232178 0.005640
402.0505859 0.010205
402.1301514 0.010423
402.1966797 0.007907
402.3541260 0.008834
402.4311035 0.009046
402.4502441 0.008280
402.4825928 0.007139
402.5983887 0.008123
402.6829102 0.006133
402.8588379 0.013085
402.8865234 0.007177
402.9063477 0.002278
402.9729980 0.009929
403.1384521 0.007793
403.2644531 0.006407
404.3153809 0.007267
404.3380127 0.012957
404.4032227 0.007868
404.4375977 0.007031
404.4704346 0.011435
404.5373047 0.009453
404.7327637 0.008907
404.7661621 0.009354
404.7985840 0.015565
405.0380859 0.011603
405.0546875 0.036536
405.0876953 0.010583
405.1225342 0.008794
405.4381836 0.009200
405.4498291 0.008926
405.4711426 0.009095
405.5090088 0.011347
405.7703857 0.010501
405.8888184 0.044662
405.8990967 0.007481
405.9593750 0.013673
406.0822754 0.004730
406.1475342 0.009095
406.1825439 0.007746
406.1961914 0.009620
406.2660156 0.019559
406.2893066 0.009691
406.3239990 0.008875
406.3471680 0.008450
406.4701172 0.011501
406.4978271 0.014929
406.5629639 0.009614
406.5838379 0.008344
406.6013428 0.011269
406.6857178 0.003341
406.7814453 0.006684
406.8166504 0.013590
406.8483398 0.011266
406.9334961 0.007902
407.6090576 0.002658
407.6225342 0.012730
407.8398438 0.007337
407.9617432 0.037093
407.9824463 0.006148
408.0378174 0.009499
408.0522949 0.005907
408.1054443 0.037236
408.1505859 0.011505
408.2562012 0.007859
408.3143066 0.011599
408.4085693 0.013236
408.4375000 0.010084
408.4969727 0.009005
408.5637939 0.009437
408.5945557 0.007896
408.6342529 0.011127
408.6693115 0.013251
408.7009277 0.008740
408.8590576 0.006681
408.9260986 0.007469
408.9646484 0.002961
409.1021729 0.008151
409.1194824 0.006340
409.1703125 0.011837
409.2210449 0.008622
409.2954834 0.011563
409.3303223 0.010289
409.3662109 0.012778
409.4373535 0.011634
409.6280762 0.010800
409.6500977 0.014254
409.6989258 0.011848
409.7261230 0.009090
409.7537598 0.012668
409.7868164 0.021949
409.8999023 0.009252
409.9219238 0.009644
409.9552246 0.010228
410.0350586 0.008123
410.0632324 0.013027
410.0985352 0.008455
410.1347656 0.015122
410.1721680 0.014275
410.3643066 0.023818
410.3978027 0.011418
410.7170898 0.018715
410.7549316 0.011384
410.9174805 0.008511
410.9441895 0.014121
411.3959961 0.008656
411.4526855 0.009560
412.0810547 0.010150
412.2313477 0.007961
412.2943359 0.012257
412.5292480 0.012823
412.6367676 0.008814
412.8052246 0.010660
413.0528320 0.011716
413.0796387 0.008901
413.2678711 0.006234
413.4346680 0.014140
413.4602051 0.012299
413.6276855 0.009584
413.6769043 0.013454
413.8236328 0.017650
413.8486328 0.006173
413.8710938 0.010701
413.9918457 0.010228
414.5475586 0.012828
415.5401367 0.012138
415.5684570 0.012334
415.6539551 0.009438
415.6842285 0.024129
415.8131348 0.011519
415.8515137 0.009482
415.8832520 0.009807
416.0750488 0.011123
416.1116211 0.010073
416.1468262 0.011174
416.3990234 0.015223
416.4060547 0.015457
416.4386230 0.015425
416.4726074 0.010152
416.4987305 0.014725
416.5707031 0.009317
416.6647461 0.010556
416.6914062 0.009317
416.7286133 0.009427
416.7825195 0.010759
416.8219727 0.013543
416.8573242 0.022079
416.9133301 0.015796
416.9745117 0.013895
416.9876953 0.012701
417.1061523 0.009533
417.1476562 0.019786
417.1692383 0.006130
417.2340820 0.014080
417.2687012 0.011108
417.2996094 0.007066
417.3132812 0.016879
417.3311523 0.010954
417.4779785 0.009750
417.5332031 0.007238
417.5500000 0.009780
417.6553711 0.005991
417.6769531 0.012921
417.7526367 0.013446
417.7884766 0.020491
417.8270020 0.010365
417.8612305 0.004733
417.9180176 0.026371
418.2348633 0.012567
418.2604004 0.009430
418.4104004 0.026086
418.4288086 0.008896
418.5413574 0.008665
418.5821289 0.017964
418.6635254 0.014877
418.8497070 0.007821
418.9300781 0.009382
418.9683594 0.008853
419.4610352 0.010294
420.0871094 0.011952
420.3655273 0.009310
420.4536133 0.006246
420.6917969 0.012609
420.8079102 0.008487
421.6260254 0.010143
422.5416016 0.012131
423.5557129 0.011297
424.6716309 0.009912
424.6972656 0.015121
424.7435547 0.009060
424.8084473 0.019193
424.8920410 0.010059
424.9895508 0.007401
425.1114746 0.023480
425.2289551 0.009557
425.3831543 0.010135
425.4099121 0.010327
427.2134277 0.013370
427.9352051 0.011493
427.9735840 0.016602
428.4189941 0.019030
428.5030273 0.009629
428.6463379 0.009507
429.1321289 0.010281
429.7385742 0.008023
429.8506348 0.010515
430.3517090 0.022654
431.0277344 0.010961
431.1460449 0.011269
431.2232910 0.008031
431.4054688 0.016965
431.4817383 0.007372
431.5856445 0.010813
431.7204102 0.013940
431.7574707 0.008128
431.7997559 0.010916
431.8416504 0.013779
432.1358887 0.013363
432.1803711 0.014207
432.5981445 0.006826
434.0442383 0.024779
436.8249512 0.010890
438.3184082 0.013733
438.4925781 0.010996
439.1229004 0.010198
440.0255859 0.012104
440.1774414 0.032000
440.2352051 0.018065
440.3821289 0.011980
440.4828125 0.011597
440.5220215 0.009496
440.5374512 0.010113
440.5682617 0.010400
440.6069336 0.015733
440.6319336 0.008987
440.6739258 0.009253
